gpu,Average_utilization,Average_mem_utilization
0,80.76573426573427,5.77972027972028
1,79.58391608391608,5.741258741258742
2,80.3006993006993,5.765734265734266
3,80.36363636363636,5.5979020979020975
4,79.53146853146853,5.534965034965035
5,79.6958041958042,5.63986013986014
6,79.5909090909091,5.475524475524476
7,78.91608391608392,5.755244755244755
