Timestamp,Interface,send,receive
18:55:35,ibp18s0,2,04Mb,2,65Gb
18:55:38,ibp18s0,2,31Mb,3,29Gb
18:55:42,ibp18s0,1,77Mb,2,52Gb
18:55:45,ibp18s0,1,58Mb,2,26Gb
18:55:48,ibp18s0,1,78Mb,2,33Gb
18:55:51,ibp18s0,2,46Mb,3,52Gb
18:55:55,ibp18s0,2,39Mb,3,37Gb
18:55:58,ibp18s0,2,18Mb,2,85Gb
18:56:01,ibp18s0,1,77Mb,2,35Gb
18:56:04,ibp18s0,3,03Mb,3,94Gb
18:56:09,ibp18s0,2,70Mb,3,42Gb
18:56:12,ibp18s0,2,40Mb,2,87Gb
18:56:15,ibp18s0,3,04Mb,3,98Gb
18:56:19,ibp18s0,1,65Mb,2,16Gb
18:56:22,ibp18s0,1,63Mb,2,01Gb
18:56:25,ibp18s0,3,60Mb,4,31Gb
18:56:29,ibp18s0,2,90Mb,3,48Gb
18:56:32,ibp18s0,2,44Mb,3,08Gb
18:56:35,ibp18s0,2,14Mb,2,74Gb
18:56:38,ibp18s0,3,06Mb,3,84Gb
18:56:42,ibp18s0,2,66Mb,3,46Gb
18:56:45,ibp18s0,1,59Mb,2,11Gb
18:56:48,ibp18s0,1,55Mb,2,11Gb
18:56:51,ibp18s0,2,76Mb,3,72Gb
18:56:55,ibp18s0,2,29Mb,3,04Gb
18:56:58,ibp18s0,1,80Mb,2,33Gb
18:57:01,ibp18s0,2,44Mb,3,28Gb
18:57:05,ibp18s0,2,10Mb,2,84Gb
18:57:08,ibp18s0,2,04Mb,2,74Gb
18:57:12,ibp18s0,1,27Mb,1,61Gb
18:57:15,ibp18s0,1,84Mb,2,63Gb
18:57:18,ibp18s0,1,79Mb,2,36Gb
18:57:21,ibp18s0,1,64Mb,2,17Gb
18:57:25,ibp18s0,2,84Mb,3,72Gb
18:57:28,ibp18s0,2,03Mb,2,75Gb
18:57:31,ibp18s0,1,40Mb,1,83Gb
18:57:34,ibp18s0,2,92Mb,3,65Gb
18:57:38,ibp18s0,2,41Mb,3,21Gb
18:57:42,ibp18s0,2,93Mb,3,92Gb
18:57:45,ibp18s0,2,04Mb,2,70Gb
18:57:48,ibp18s0,1,20Mb,1,60Gb
18:57:51,ibp18s0,1,42Mb,1,89Gb
18:57:55,ibp18s0,2,91Mb,3,88Gb
