read_id,filename,read_number,channel,mux,end_reason,start_time,start_sample,duration,num_samples,minknow_events,sample_rate,median_before,predicted_scaling_scale,predicted_scaling_shift,tracked_scaling_scale,tracked_scaling_shift,num_reads_since_mux_change,time_since_mux_change,run_id,sample_id,experiment_id,flow_cell_id,pore_type
571889ec-ddb4-4245-9818-3dd6382428b3,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,24,337,2,unknown,79.72000000,318880,15.15700000,60628,0,4000,250.54301453,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
49577a16-7e45-46f5-b8f8-f4e13a7423d6,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,32,30,3,unknown,147.05425000,588217,18.41825000,73673,0,4000,312.48348999,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
89b1267a-b645-49fd-8a0b-a52a05abd8db,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,542,27,1,unknown,6404.16625000,25616665,87.60900000,350436,0,4000,99.57952881,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
ff31d8a0-50c8-4bd4-b016-ca2178a1ad37,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,2717,412,1,unknown,13215.74700000,52862988,229.03725000,916149,0,4000,124.78362274,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
852f28d3-e8bd-45d2-8d25-42f66b15cceb,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,479,176,4,unknown,4335.86125000,17343445,33.13300000,132532,0,4000,120.30007935,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
13bd6494-675b-48a3-ab54-0e73d18812e2,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,770,343,1,unknown,14362.79200000,57451168,338.25875000,1353035,0,4000,94.13774872,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
5f80b23b-ab37-4f69-aebd-95ae0686e3ba,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,5442,326,2,unknown,14840.63425000,59362537,12.10625000,48425,0,4000,220.21649170,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
a507b6c1-b02e-4c0a-a23b-b69afd680de0,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,480,390,3,unknown,5367.54875000,21470195,104.69575000,418783,0,4000,200.93978882,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
b082aad1-417c-4418-9bd5-cbda0091b7fd,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1281,337,1,unknown,10687.29475000,42749179,1.16875000,4675,0,4000,146.61584473,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
4e84d855-619a-4001-81a2-a2d3fd49d8c6,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,259,159,2,unknown,853.21625000,3412865,6.42325000,25693,0,4000,134.26431274,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
85db8502-06de-4fa7-b075-4decc28799b4,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,118,388,4,unknown,345.51300000,1382052,11.95750000,47830,0,4000,233.24530029,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
eae8311f-fc48-4e53-9cc4-0e223ea19498,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,40,334,3,unknown,220.31975000,881279,77.66775000,310671,0,4000,241.84622192,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
745b4161-efbe-456c-9d47-24dc216f3433,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1697,475,1,unknown,3334.70850000,13338834,2.47475000,9899,0,4000,138.42506409,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
878bc2d7-9022-44f4-9a16-055fa511140a,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,53,451,4,unknown,218.68750000,874750,17.54475000,70179,0,4000,103.10296631,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
00fba8ee-c3e8-4a15-ac6c-30ec93efe782,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,874,350,4,unknown,6995.74775000,27982991,28.71425000,114857,0,4000,144.15213013,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
360a410a-f5e2-41a2-a607-11527ab516ed,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,613,284,1,unknown,4805.80375000,19223215,50.44650000,201786,0,4000,144.27157593,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
889aa87e-23cb-41e9-be02-977a204c086f,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,22,131,1,unknown,142.63675000,570547,80.15575000,320623,0,4000,117.59127808,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
c62745d3-cd0f-485a-aaa9-3e89c126411d,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,589,422,3,unknown,4408.00200000,17632008,186.11125000,744445,0,4000,116.68524933,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
3fc9155a-383c-4565-a09b-4a0df72b2d30,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,476,179,1,unknown,6494.90325000,25979613,97.63575000,390543,0,4000,80.13723755,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
0efe7e62-ceae-4d2a-84ef-06c3869aba06,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1477,193,4,unknown,13017.51175000,52070047,1.10800000,4432,0,4000,143.56123352,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
0b0b8bed-f15c-4f78-a142-f7d72f1ac96c,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1622,342,1,unknown,13735.19350000,54940774,30.18050000,120722,0,4000,197.26329041,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
5d376ed2-b71b-4566-b763-cd0dbd47a7db,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1248,79,4,unknown,4245.09075000,16980363,12.79200000,51168,0,4000,72.93061829,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
3495b2c7-b429-41ec-b4b3-bef3b3ebf4d8,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,627,88,4,unknown,5403.70700000,21614828,34.13225000,136529,0,4000,106.12503052,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
087f46ea-fa63-49f7-b0f2-e9b989aafde9,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,51,96,1,unknown,290.07700000,1160308,2.29100000,9164,0,4000,274.98095703,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
e9111ba4-12a8-4c41-9923-619f66479391,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,2137,403,3,unknown,12266.03300000,49064132,228.62325000,914493,0,4000,107.29723358,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
f2471daa-6e97-4af3-ae08-4f9d74a4474e,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,611,242,1,unknown,12115.74600000,48462984,547.96225000,2191849,0,4000,168.30770874,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
6b747a36-31b7-423d-a6b4-ef55d95a71fe,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,543,72,1,unknown,2153.96125000,8615845,1.57400000,6296,0,4000,138.80676270,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
ff4f1612-8865-4068-9127-31136ffd2888,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,649,163,4,unknown,16726.83000000,66907320,57.25400000,229016,0,4000,214.89134216,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
a8f15278-6c89-4187-8301-15f82cd586a8,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1264,357,1,unknown,14524.04450000,58096178,356.49525000,1425981,0,4000,216.36027527,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
1f157c37-33d1-4a4f-aeed-e9998918b713,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,18,144,3,unknown,54.03150000,216126,2.34625000,9385,0,4000,255.53509521,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
3f6909b6-9903-4c3d-af45-93796db49cef,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,43,458,3,unknown,160.96925000,643877,6.83500000,27340,0,4000,233.73947144,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
ac6e181f-eaf0-4620-ac73-b9b5c94cc33e,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1004,184,4,unknown,3170.03350000,12680134,76.96525000,307861,0,4000,141.28143311,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
6c77a69b-47b3-4850-bbe4-e8d094cae9da,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,38,440,3,unknown,235.38600000,941544,11.19000000,44760,0,4000,212.65536499,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
32e705b4-7364-436b-b449-e520b09d1c18,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,559,104,1,unknown,4021.07325000,16084293,119.99350000,479974,0,4000,133.58784485,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
af43de87-2ea0-456d-b6df-10ae07e0afcb,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1400,227,3,unknown,13447.72625000,53790905,29.70125000,118805,0,4000,147.80815125,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
3f1026c4-9d8a-4ff7-bb8a-75df8cc2ceb7,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,665,311,4,unknown,3562.20100000,14248804,51.96900000,207876,0,4000,128.78915405,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
29141765-940f-4c61-88c5-ad5e598b6f6d,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,66,61,1,unknown,207.19875000,828795,109.19650000,436786,0,4000,123.35078430,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
3185588a-4fd9-48e2-949f-7470554221e9,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,372,51,3,unknown,2949.26450000,11797058,29.43000000,117720,0,4000,119.30538940,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
900eb32d-c08d-4e73-a796-c6c6ff6d125b,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,624,498,1,unknown,6354.07950000,25416318,28.99225000,115969,0,4000,201.94442749,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
43cc6e3f-d48b-4fed-a0fb-fdd52d6e2c93,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,28,65,1,unknown,101.24100000,404964,1.18075000,4723,0,4000,125.36212158,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
21227f26-f42e-4046-96c6-d2564300f196,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1771,336,3,unknown,15671.01850000,62684074,9.65525000,38621,0,4000,247.00895691,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
acbd566b-c652-4337-ae53-9828ad53e9c0,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,2348,73,1,unknown,8697.54025000,34790161,87.15225000,348609,0,4000,91.01309204,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
bf43fbd7-d17a-4d1c-828e-bf7b2b5c9463,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,380,288,2,unknown,2115.14925000,8460597,3.08300000,12332,0,4000,141.46080017,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
1b1004d9-7d7a-4eec-b5e0-80d825d3c9aa,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1012,150,3,unknown,16768.44950000,67073798,12.65925000,50637,0,4000,103.37988281,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
3637f1cd-1808-45f2-a0f2-28453a8a3e2b,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,733,88,4,unknown,4625.24700000,18500988,30.48000000,121920,0,4000,224.73754883,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
d969414e-9454-47e6-9097-1de33b9f4846,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,814,12,1,unknown,9897.94550000,39591782,18.33600000,73344,0,4000,288.89160156,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
7f38de72-91bb-40a5-a11b-564fe533ac66,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,2533,424,1,unknown,16084.10725000,64336429,8.99075000,35963,0,4000,115.64699554,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
c661714f-8f6e-4c60-8525-7e31f50568f9,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,185,240,3,unknown,1723.54075000,6894163,3.39475000,13579,0,4000,150.77305603,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
8c2d91bc-85e6-4bf5-83ff-02febf9f240c,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,74,217,3,unknown,149.25125000,597005,7.22475000,28899,0,4000,228.86135864,NaN,NaN,NaN,NaN,0,0.00000000,612cafe9-673d-4869-b582-3d2de89b7e30,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
e6adb398-006e-4e9e-a15c-eea0421ec507,nanopore2_20170303_FNFAF09968_MN17024_sequencing_run_170303_NA12878_PC_RAD002_0_1.pod5,1542,390,3,unknown,14187.26650000,56749066,30.95025000,123801,0,4000,203.46914673,NaN,NaN,NaN,NaN,0,0.00000000,6eee7ff0-9df7-433d-95cf-189323cc6e25,170303_NA12878_PC_RAD002,not_set,FAF09968,not_set
