gpu,Average_utilization,Average_mem_utilization
0,97.91935483870968,54.30184331797235
1,97.59447004608295,56.64746543778802
2,97.86866359447005,55.645161290322584
3,97.54608294930875,55.444700460829495
4,98.1405529953917,56.23963133640553
5,97.84331797235023,56.175115207373274
6,97.89861751152074,55.21658986175115
7,97.94700460829493,56.435483870967744
